text,template,Domain,Categpry,SubCategory,Keyword
apgbank banking credentials customer dear mobile otp setting,1.00709E+18,Bank,transaction,Information,"OTP, settings"
 balance credited current customer dear inr upi xxxxxxxxxxx your,1.70716E+18,Bank,transaction,Statement,"balance, credited"
 balance current customer dear debited inr upi xxxxxxxxxxx your,1.70716E+18,Bank,transaction,Statement,"balance, debited"
Increase Axis bank credit card limit,,Bank,Promotional,Credit card,"credit card, offer"
 bank contact customer otp,1.10716E+18,Bank,transaction,,OTP
 bought case concern contact hope insurance just kindly options policy provided satisfied you,1.10717E+18,Insurance,support,,"satisfy, concern"
 insurance insured insurer policy stay,1.10716E+18,,,,
,1.10716E+18,,,,
,1.10716E+18,,,,
 cas contacting number policy query reference registered request responded thank,1.10716E+18,,,,
,1.10716E+18,,,,
 aditya birla capital contacting dear interaction reference registered thank your,1.10716E+18,,,,
 adda committee due pay pls towards unit your,1.0076E+18,,,,
 adda app complete dated details invoice login please posted towards,1.00766E+18,,,,
 just oct payment received you,1.70716E+18,,,,
absli apply complete minutes one otp password please process time use verification within your,1.10716E+18,,,,
 aaa academy bright otp your,1.00716E+18,,,,
 aaa academy account bright change otp password,1.00716E+18,,,,
 airports authority expire india login minutes otp this,1.40716E+18,,,,
 able clicking customer dear experience feedback fulfill glad know love minutes please request share take,1.10716E+18,,,,
 abhfl ach aditya adityabirlacapital amount birla care com contact customer dear finance housing limited loan may received regards towards write xxxxx you,1.10716E+18,,,,
 application loan per processing request,1.10716E+18,,,,
 aditya affect birla bureau cibil credit finance history housing india limited may regards,1.10716E+18,,,,
 aditya adityabirlacapital birla care com contact finance housing housingfinance limited manager may please queries relationship write you,1.10716E+18,,,,
 aditya agreement birla click customer dear digital finance invited loan online please signing view,1.10716E+18,,,,
 abfl document mins one otp password regards sign this time valid,1.10716E+18,,,,
 aditya authentication birla complete finance ltd otp please process submit team your,1.10716E+18,,,,
 abcap aditya avoid birla break brokers expires insurance motor now policy renew today tvs vehicle,1.10717E+18,,,,
abibl dealer expiring hyundai please policy renewal visit your,1.10716E+18,,,,
 abcap click customer dear expiring hmi https instant policy your,1.10716E+18,,,,
abcap aditya birla brokers customer date dear expires expiry hurry insurance renew wheeler your,1.10717E+18,,,,
abcap aditya always better birla brokers extra fine insurance insuring motor paying renew today vehicle,1.10717E+18,,,,
 claimform clm documents estimate fir fitness form loadchalan pending permit satisfactionvoucher,1.10716E+18,,,,
 abibl ashok call customer dealer dear expired insurance leyland oct please policy renewal vehicle visit your,1.10716E+18,,,,
 auto click dear expired got link madam now please policy renew sir your,1.10716E+18,,,,
 aditya anyone birla brokers customer dear insurance ltd one otp password please policy renewing share time,1.10716E+18,,,,
aditya adityabirlainsurancebrokers avoid birla break brokers com cover expires hector insurance ltd now policy renew today www your,1.10716E+18,,,,
 aditya birla brokers car enjoy expires hector insuran insurance ltd mind peace policy program remember renew secure your,1.10716E+18,,,,
 absli all clicking follow link need pending policy regards simple steps verification,1.10716E+18,,,,
 aditya anyone authenticate birla insurance life mins otp reasons security share sun valid,1.10716E+18,,,,
 absli click dear pay per please policy premium request,1.10716E+18,,,,
 adityabirlacapital assistance avail benefits bit care certificate customer dear email etc fund instant instantly lifeinsurance like may now please points policy reach related send services tax touch uiekvg value via whatsapp,1.10716E+18,,,,
,1.10716E+18,,,,
 dearcustomer pleaseclickonlink,1.10716E+18,,,,
,1.10716E+18,,,,
 customer dear due find link payment please premium,1.10716E+18,,,,
,1.10716E+18,,,,
,1.10716E+18,,,,
,1.10716E+18,,,,
,1.10716E+18,,,,
 aditya based birla dear experience feedback hear important likely love partner recommend sun your,1.00745E+18,,,,
abslamc mobile number otp regards verifying,1.00747E+18,,,,
 absl account call did free logging minutes one otp password regards request this time toll valid,1.00704E+18,,,,
 aditya birla capital reference,1.10716E+18,,,,
 click feedback important your,1.10716E+18,,,,
 agarwal brokers call forgot password share,1.10717E+18,,,,
 balance care contact customer dispute for number transfer your,1.10716E+18,,,,
 abhyudaya balance bank card dispute for swiped txn you,1.10716E+18,,,,
 amt and beneficiary contact credited customer dispute for neft ref txn your,1.10716E+18,,,,
 abhyudaya alert balance clr customer dear dispute for imps info xxxxxx,1.10716E+18,,,,
 abhyuda application bank care contact customer dear dispute for login mobile number pin reset successfully your,1.10716E+18,,,,
abhyudaya bank clearing credited realisation subject your,1.10716E+18,,,,
 bank contact customer otp,1.10716E+18,,,,
 abhyudaya bank care contact customer dispute for number,1.10716E+18,,,,
 bank branch cheque clearing contact details home kindly uncleared your,1.10716E+18,,,,
abhyudaya balance bank debited ecs instalment keep loan nach please your,1.10716E+18,,,,
 acct customer dear debited for oct payment ref towards xxxxx,1.10716E+18,,,,
 abhyudaya account bank branch dear number opening thank your,1.10716E+18,,,,
 abhy abhyudaya bank customer dear due frequency issued mandate reason ref rejected value,1.10716E+18,,,,
 abhyudaya bank ntact xxxxxxxxxxx,1.10716E+18,,,,
 abh application bank care contact customer dear dispute for mobile number pin set successfully transaction your yudaya,1.10716E+18,,,,
 branch days dear deposit keeping months scheme term thank,1.10716E+18,,,,
abhyudaya ahead bank birthday customer dear great happy very wishes year,1.10716E+18,,,,
abhyr abhyudaya bank beneficiary credited rtgs utr your,1.10716E+18,,,,
 abhyudaya bank customer mobile,1.10716E+18,,,,
abhyudaya application bank banking download mobile playstore please quikmobil welcome,1.10716E+18,,,,
abhyudaya bank chq deposited returned unpaid,1.10716E+18,,,,
 avoid bank financial otp,1.10716E+18,,,,
 abhy customer dear frequency issued mandate received ref today value,1.10716E+18,,,,
abhyudaya bank care contact customer dear dispute for login number otp validation,1.10716E+18,,,,
 abhyudaya app bank branch care click contact customer dear dispute expire for number please token your,1.10716E+18,,,,
 account avoid bank card customer date dear debit details expiry financial got linking loss number one otp password request share time udaya upi,1.10716E+18,,,,
 arihantbank available balance credited customer dear info neft oct reason tfr total xxxxxxx your,1.10716E+18,,,,
account acstak card login minutes otp portal proximity valid,1.50717E+18,,,,
 account acs acstak card minutes number one otp passcode portal proximity reference time valid verify your,1.50717E+18,,,,
 com manager noida service,1.70717E+18,,,,
 camp car celebration checkup comprehensive discount ext labour oct parts renault sector selected,1.70717E+18,,,,
 active call customer dear discount enrollment extend extended fore going inform kindly lacs lapse like ltd motors pvt renault upto vehicle warranty year,1.70717E+18,,,,
 adda alert bnxv flat panic ymkpah,1.0077E+18,,,,
 checked details gate more security see visitor,1.00701E+18,,,,
adsmania apply bajaj bit card dzfjm emi expires for great news offer online,1.50717E+18,,,,
 adarsh available balance urban,1.20717E+18,,,,
account adarsh balance customer dear debited inr urban your,1.20716E+18,,,,
account adarsh balance credited customer dear inr urban your,1.20716E+18,,,,
adsmania are away axis bank bit card click complete credit customer dear details for free here interest just showing step thanks you ztbrsj,1.50717E+18,,,,
 aeph otp verification,1.70716E+18,,,,
 active amzn membership message prime reply stop unsubscribe your,0,,,,
 aakash appointment counselling form institute psychologist schedule,1.40717E+18,,,,
 aditya apply birla finance offer,1.10716E+18,,,,
 abhyudaya account assistance bank bglln branch bullet contact customer dear gold kindly loan maturing oct,1.10716E+18,,,,
 acbl applicable card confidential cont debit dispute ending for otp single till transaction valid your,1.10716E+18,,,,
